Name,BGR
UltimateGray_color,"151, 149, 147"
Cerulean_color,"212, 183, 155"
GreenAsh_color,"173, 221, 160"
Illuminating_color,"77, 233, 245"
FrenchBule_color,"181, 114, 0"
IndigoBunting_color,"169, 108, 0"
Mint_color,"112, 161, 0"
PolatNight_color,"64, 53, 52"
Willow_color,"79, 139, 154"
Inkweel_color,"69, 57, 54"
PickledPepper_color,"83, 166, 160"
PurpleRose_color,"202, 159, 176"
Buttercream_color,"206, 227, 240"
Macchiato_color,"117, 139, 173"
BabysBreath_color,"209, 226, 233"
DesertMist_color,"137, 181, 224"
Beige_color,"150, 185, 212"
Sphagnum_color,"61, 99, 98"
White,"255, 255, 255"
Brown,"55, 68, 100"
Gray,"169, 164, 165"
LightGreen,"153, 207, 148"
DeepGreen,"53, 91, 63"
Navy,"76, 4, 4"
LightBlue,"215, 194, 163"
DeepBlue,"126, 80, 9"
Beige,"192, 207, 228"
LightPink,"203, 193, 240"
DeepPink,"96, 30, 196"
Dlack,"38, 38, 38"
